Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Keywords,PTM Summary,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
P84001,280265,,50,fragment,,,,GO:0005576 (extracellular region),,GO:0005576 (extracellular region),,1: Evidence at protein level,both,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial,terrestrial
P0C8R6,8628,Snake three-finger toxin family,69,,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level,both,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine,marine
P01388,8643,Snake three-finger toxin family,71,,,Disulfide bond,Disulfide bond:5,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level,both,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial,terrestrial
D2N116,132961,Snake three-finger toxin family,76,fragment,,Disulfide bond,Disulfide bond:5,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology,both,Bungarus caeruleus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus caeruleus,terrestrial,terrestrial
Q9W7I3,33626,Snake three-finger toxin family,86,,,Disulfide bond,Disulfide bond:5,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
P86098,129470,Snake three-finger toxin family,64,,,Disulfide bond,Disulfide bond:5,GO:2000272 (negative regulation of receptor activity); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity),GO:2000272 (negative regulation of receptor activity); GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),GO:0030550 (acetylcholine receptor inhibitor activity),1: Evidence at protein level,both,Micrurus surinamensis,Chordata,Lepidosauria,Squamata,Elapidae,Micrurus,Micrurus surinamensis,terrestrial,terrestrial
P25494,8686,Snake three-finger toxin family,60,,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level,both,Hydrophis cyanocinctus,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis cyanocinctus,marine,marine
P19959,8678,Snake three-finger toxin family,81,,LD(50) is 0.067 mg/kg by intramuscular injection into mice.,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level,both,Aipysurus laevis,Chordata,Lepidosauria,Squamata,Elapidae,Aipysurus,Aipysurus laevis,marine,marine
F5CPD6,129457,Snake three-finger toxin family,83,,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level,both,Micrurus altirostris,Chordata,Lepidosauria,Squamata,Elapidae,Micrurus,Micrurus altirostris,terrestrial,terrestrial
P10456,8628,Snake three-finger toxin family,83,,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level,both,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine,marine
P01447,35670,Snake three-finger toxin family,60,,,Disulfide bond,Disulfide bond:4,GO:0019835 (cytolysis); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane),GO:0019835 (cytolysis); GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane),,1: Evidence at protein level,both,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
P01443,8656,Snake three-finger toxin family,81,,LD(50) is 2.1 mg/kg by intravenous injection into mice. LD(50) is 48 mg/kg by subcutaneous injection into mice.,Disulfide bond,Disulfide bond:4,GO:0044179 (hemolysis in other organism); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane); GO:0004860 (protein kinase inhibitor activity),GO:0044179 (hemolysis in other organism); GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane),GO:0004860 (protein kinase inhibitor activity),1: Evidence at protein level,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P60307,8656,Snake three-finger toxin family,60,,,Disulfide bond,Disulfide bond:4,GO:0019835 (cytolysis); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane),GO:0019835 (cytolysis); GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane),,1: Evidence at protein level,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
Q53B49,8665,Snake three-finger toxin family,86,,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level,both,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
P43445,8616,Snake three-finger toxin family,83,,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,3: Inferred from homology,both,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
P14541,8649,Snake three-finger toxin family,62,,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane),GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane),,1: Evidence at protein level,both,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
F5CPE2,129457,Snake three-finger toxin family,82,,,Disulfide bond,Disulfide bond:4,GO:0005576 (extracellular region),,GO:0005576 (extracellular region),,1: Evidence at protein level,both,Micrurus altirostris,Chordata,Lepidosauria,Squamata,Elapidae,Micrurus,Micrurus altirostris,terrestrial,terrestrial
Q4VDB5,58216,Arthropod phospholipase D family,280,,,Disulfide bond,Disulfide bond:1,GO:0044179 (hemolysis in other organism); GO:0006629 (lipid metabolic process); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0070290 (N-acylphosphatidylethanolamine-specific phospholipase D activity); GO:0004630 (phospholipase D activity),GO:0044179 (hemolysis in other organism); GO:0006629 (lipid metabolic process),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0070290 (N-acylphosphatidylethanolamine-specific phospholipase D activity); GO:0004630 (phospholipase D activity),3: Inferred from homology,both,Loxosceles gaucho,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles gaucho,terrestrial,terrestrial
C0JAV4,571518,Arthropod phospholipase D family,273,fragment,,Disulfide bond; Glycoprotein,Disulfide bond:2; Glycosylation:1,GO:0044179 (hemolysis in other organism); GO:0006629 (lipid metabolic process); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0070290 (N-acylphosphatidylethanolamine-specific phospholipase D activity); GO:0004630 (phospholipase D activity),GO:0044179 (hemolysis in other organism); GO:0006629 (lipid metabolic process),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0070290 (N-acylphosphatidylethanolamine-specific phospholipase D activity); GO:0004630 (phospholipase D activity),2: Evidence at transcript level,both,Loxosceles apachea,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles apachea,terrestrial,terrestrial
