Entry,Organism (ID),Protein families,Length,Fragment,Source tissues,Toxic dose,PTM Keywords,PTM Summary,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
Q5G8B2,309814,,74,,Venom gland,,,,,,,,,venom_tissue,Tityus costatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus costatus,terrestrial,terrestrial
P82849,8649,Snake toxin family,62,,Venom,,,Disulfide bond:4,,,,,,both,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
P17236,7447,MCD family,14,,Venom,,Amidation,Amidation:1,,,,,,venom_tissue,Vespa orientalis,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa orientalis,terrestrial,terrestrial
Q8JGT9,193080,CRISP family,237,,Venom; Venom gland,,,Disulfide bond:8,,,,,,both,Rhabdophis tigrinus tigrinus,Chordata,Lepidosauria,Squamata,Colubridae,Rhabdophis,Rhabdophis tigrinus,terrestrial,terrestrial
Q3YEH6,89764,Conotoxin T superfamily,61,,Venom duct,,Cleavage on pair of basic residues,Disulfide bond:2,,,,,,both,Conus betulinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus betulinus,marine,marine
Q9PST4,33626,Snake toxin family,81,,Liver; Venom gland,,,Disulfide bond:4,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
P84197,101314,,44,,Venom,,,,,,,,,both,Conus regius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus regius,marine,marine
Q8I6R2,89431,Conotoxin M superfamily,68,,Venom; Venom duct,,,Disulfide bond:3,,,,,,both,Conus vexillum,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus vexillum,marine,marine
P69762,319920,Conotoxin O superfamily,77,,Venom duct,,Cleavage on pair of basic residues,Disulfide bond:3,,,,,,both,Conus victoriae,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus victoriae,marine,marine
P01454,8641,Snake toxin family,60,,Venom,LD(50) is 4.9 mg/kg by intravenous injection.,,Disulfide bond:4,,,,,,both,Naja annulifera,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja annulifera,terrestrial,terrestrial
P50982,55423,Conotoxin A superfamily,18,,Venom,,Amidation; Hydroxylation,Disulfide bond:2; Amidation:1; Hydroxylation:1,,,,,,both,Conus ermineus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ermineus,marine,marine
P0C1W8,89447,Conotoxin A superfamily,19,,Venom,,Amidation; Hydroxylation,Disulfide bond:3; Hydroxylation:2; Amidation:1,,,,,,both,Conus obscurus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus obscurus,marine,marine
P69751,101291,Conotoxin O superfamily,27,,Venom duct,,Hydroxylation,Disulfide bond:3; Hydroxylation:1,,,,,,both,Conus catus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus catus,marine,marine
Q7Z093,61198,Conotoxin I1 superfamily,46,,Venom duct,,D-amino acid; Hydroxylation,Hydroxylation:3; D-amino acid:1,,,,,,both,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine,marine
Q0N4U3,379542,Conotoxin J superfamily,76,,Venom duct,,Amidation,Disulfide bond:2; Amidation:1,,,,,,both,Conus ferrugineus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ferrugineus,marine,marine
P0C1T9,101297,Conotoxin M superfamily,22,,Venom duct,,Amidation,Disulfide bond:3; Amidation:1,,,,,,both,Conus consors,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus consors,marine,marine
Q5K0C5,89427,Conotoxin O superfamily,79,,Venom duct,,,Disulfide bond:3,,,,,,both,Conus virgo,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus virgo,marine,marine
P28881,6493,Conotoxin O superfamily,72,,Venom; Venom duct,,Amidation,Disulfide bond:3; Amidation:1,,,,,,both,Conus striatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striatus,marine,marine
P58811,6495,Conotoxin rho family,19,,Venom,,Amidation,Disulfide bond:2; Amidation:1,,,,,,both,Conus tulipa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tulipa,marine,marine
P83041,8697,Disintegrin family,65,,Venom,,,Disulfide bond:6,,,,,,venom_tissue,Cerastes cerastes,Chordata,Lepidosauria,Squamata,Viperidae,Cerastes,Cerastes cerastes,terrestrial,terrestrial
P00987,8616,Contains 1 BPTI/Kunitz inhibitor domain,85,,Venom; Venom gland,,,Disulfide bond:4,,,,,,both,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
Q9BJX2,34649,Short scorpion toxin superfamily,54,,Venom gland,,,,,,,,,both,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
P46110,6884,Short scorpion toxin superfamily,38,,Venom,,,Disulfide bond:3,,,,,,both,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial,terrestrial
P55927,55084,Short scorpion toxin superfamily,47,fragment,Venom,,,Disulfide bond:3,,,,,,both,Pandinus imperator,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus,Pandinus imperator,terrestrial,terrestrial
Q86QU5,218467,Ergtoxin family,43,,Venom gland,,,Disulfide bond:4,,,,,,both,Centruroides sculpturatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides sculpturatus,terrestrial,terrestrial
Q1ELU8,379576,Latarcin family,116,,Venom gland,,,,,,,,,both,Lachesana tarabaevi,Arthropoda,Arachnida,Araneae,Zodariidae,Lachesana,Lachesana tarabaevi,terrestrial,terrestrial
Q6H2Z4,94128,,50,,Venom gland,,Amidation; Formylation,Formylation:3; Amidation:1; Disulfide bond:1,,,,,,both,Apis cerana cerana,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis cerana,terrestrial,terrestrial
