Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Keywords,PTM Summary,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
P84001,280265,,50,fragment,,,,,,,,,both,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial,terrestrial
P84027,280265,Omega-agatoxin family,37,fragment,,,,,,,,,both,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial,terrestrial
P84028,280265,Spider toxin Tx2 family,47,,,,,,,,,,both,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial,terrestrial
Q92035,8613,Type-B carboxylesterase/lipase family,606,,,Glycoprotein,Disulfide bond:4; Glycosylation:4,,,,,,venom_tissue,Bungarus fasciatus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus fasciatus,terrestrial,terrestrial
P58608,184613,Assassin bug toxin family,35,,,,Disulfide bond:3,,,,,,both,Agriosphodrus dohrni,Arthropoda,Insecta,Hemiptera,Reduviidae,Agriosphodrus,Agriosphodrus dohrni,terrestrial,terrestrial
P15228,34649,Alpha/beta-scorpion toxin family,85,,,Amidation,Disulfide bond:4; Amidation:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019871 (sodium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019871 (sodium channel inhibitor activity),,both,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
Q86M31,34649,Alpha/beta-scorpion toxin family,85,,,Amidation,Disulfide bond:4; Amidation:1,,,,,,both,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
P69943,48400,Sea anemone sodium channel inhibitory toxin family,47,,LD(50) is 2.2 ug/kg to crabs.,,Disulfide bond:3,,,,,,kw_toxin,Anemonia erythraea,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia erythraea,marine,marine
P69944,48400,,59,,LD(50) is 0.53 ug/kg to crabs.,,,,,,,,kw_toxin,Anemonia erythraea,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia erythraea,marine,marine
P69945,48400,,59,,LD(50) is 0.28 ug/kg to crabs.,,,,,,,,kw_toxin,Anemonia erythraea,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia erythraea,marine,marine
P61408,29015,Spider potassium channel inhibitory toxin family,29,,,Amidation,Disulfide bond:3; Amidation:1,,,,,,both,Grammostola rosea,Arthropoda,Arachnida,Araneae,Theraphosidae,Grammostola,Grammostola rosea,terrestrial,terrestrial
P61409,29015,Spider potassium channel inhibitory toxin family,31,,,,Disulfide bond:3,,,,,,both,Grammostola rosea,Arthropoda,Arachnida,Araneae,Theraphosidae,Grammostola,Grammostola rosea,terrestrial,terrestrial
P84524,317381,,12,,,,,,,,,,venom_tissue,Pithecopus hypochondrialis,Chordata,Amphibia,Anura,Hylidae,Pithecopus,Pithecopus hypochondrialis,terrestrial,terrestrial
P84715,9258,Natriuretic peptide family,39,,,D-amino acid,D-amino acid:1,,,,,,both,Ornithorhynchus anatinus,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,terrestrial,terrestrial
P01500,7460,,46,,,Amidation,Disulfide bond:2; Amidation:1,,,,,,both,Apis mellifera,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,terrestrial,terrestrial
P61541,6110,Sea anemone BDS toxin family,42,,,,Disulfide bond:3,,,,,,kw_toxin,Anthopleura elegantissima,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,Anthopleura elegantissima,marine,marine
P61542,6110,Sea anemone BDS toxin family,42,,,,Disulfide bond:3,,,,,,kw_toxin,Anthopleura elegantissima,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,Anthopleura elegantissima,marine,marine
P83451,58720,Asparaginase 2 family,40,,,Glycoprotein,,,,,,,venom_tissue,Asobara tabida,Arthropoda,Insecta,Hymenoptera,Braconidae,Asobara,Asobara tabida,terrestrial,terrestrial
P83512,8722,Contains 1 peptidase M12B domain,203,,,Pyrrolidone carboxylic acid,Disulfide bond:3; Pyrrolidone carboxylic acid:1,,,,,,both,Bothrops asper,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops asper,terrestrial,terrestrial
P84035,8722,Contains 1 peptidase M12B domain,63,,,,,,,,,,both,Bothrops asper,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops asper,terrestrial,terrestrial
P83346,92438,Snake toxin family,65,,,,Disulfide bond:4,,,,,,both,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P59891,244728,Alpha/beta-scorpion toxin family,30,fragment,,,,,,,,,both,Babycurus centrurimorphus,Arthropoda,Arachnida,Scorpiones,Buthidae,Babycurus,Babycurus centrurimorphus,terrestrial,terrestrial
P11494,6108,Sea anemone BDS toxin family,43,,,,Disulfide bond:3,,,,,,kw_toxin,Anemonia sulcata,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia sulcata,marine,marine
P59084,6108,Sea anemone BDS toxin family,43,,,,Disulfide bond:3,,,,,,kw_toxin,Anemonia sulcata,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia sulcata,marine,marine
