Entry,Organism (ID),Protein families,Length,Fragment,Source tissues,Toxic dose,PTM Keywords,PTM Summary,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
Q56JA9,321804,SicTox family,280,,Venom gland,,Disulfide bond,Disulfide bond:2,GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Loxosceles similis,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles similis,terrestrial,terrestrial
C0JAV0,196454,SicTox family,273,fragment,Venom gland,,Disulfide bond; Glycoprotein,Disulfide bond:2; Glycosylation:1,GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Loxosceles arizonica,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles arizonica,terrestrial,terrestrial
C0JAU9,571529,SicTox family,276,fragment,Venom gland,,Disulfide bond; Glycoprotein,Disulfide bond:2; Glycosylation:2,GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Loxosceles sabina,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles sabina,terrestrial,terrestrial
P0C2K2,58216,SicTox family,40,fragment,,,Disulfide bond,,GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),1: Evidence at protein level,both,Loxosceles gaucho,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles gaucho,terrestrial,terrestrial
C0JB30,196454,SicTox family,273,fragment,Venom gland,,Disulfide bond,Disulfide bond:2,GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Loxosceles arizonica,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles arizonica,terrestrial,terrestrial
P81662,6123,Sea anemone actinoporin family,176,,,,,,GO:0006812 (cation transport); GO:0019835 (cytolysis); GO:0052331 (hemolysis of cells in other organism involved in symbiotic interaction); GO:0009405 (pathogenesis); GO:0046931 (pore complex assembly); GO:0042151 (nematocyst); GO:0044218 (other organism cell membrane); GO:0046930 (pore complex); GO:0015267 (channel activity),GO:0006812 (cation transport); GO:0019835 (cytolysis); GO:0052331 (hemolysis of cells in other organism involved in symbiotic interaction); GO:0009405 (pathogenesis); GO:0046931 (pore complex assembly),GO:0042151 (nematocyst); GO:0044218 (other organism cell membrane); GO:0046930 (pore complex),GO:0015267 (channel activity),1: Evidence at protein level,kw_toxin,Stichodactyla helianthus,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Stichodactyla,Stichodactyla helianthus,marine,marine
P61542,6110,Sea anemone type 3 (BDS) potassium channel toxin family,42,,,,Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0019871 (sodium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region); GO:0042151 (nematocyst),GO:0019871 (sodium channel inhibitor activity),1: Evidence at protein level,kw_toxin,Anthopleura elegantissima,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,Anthopleura elegantissima,marine,marine
C0JB35,571541,SicTox family,272,fragment,Venom gland,,Disulfide bond,Disulfide bond:2,GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Sicarius peruensis,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius,Sicarius peruensis,terrestrial,terrestrial
C0JB79,575956,SicTox family,274,fragment,Venom gland,,Disulfide bond,Disulfide bond:2,GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Sicarius cf. damarensis GJB-2008,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius,Sicarius cf. damarensis GJB-2008,terrestrial,terrestrial
P0C8I9,64174,Contains 1 C-type lectin domain,25,fragment,Venom,,Disulfide bond,Disulfide bond:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0005488 (binding),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0005488 (binding),1: Evidence at protein level,both,Bothrops alternatus,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops alternatus,terrestrial,terrestrial
