Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Keywords,PTM Summary,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
Q9U6X1,38281,Sea anemone actinoporin family,211,,,Cleavage on pair of basic residues,,,,,,Evidence at protein level,kw_toxin,Heteractis magnifica,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Heteractis,Heteractis magnifica,marine,marine
Q6LEM5,8724,Natriuretic peptide family,256,,,Cleavage on pair of basic residues; Pyrrolidone carboxylic acid,Pyrrolidone carboxylic acid:7,GO:0006469 (negative regulation of protein kinase activity); GO:0050880 (regulation of blood vessel size); GO:0005576 (extracellular region); GO:0042031 (angiotensin-converting enzyme inhibitor act...),GO:0006469 (negative regulation of protein kinase activity); GO:0050880 (regulation of blood vessel size),GO:0005576 (extracellular region),GO:0042031 (angiotensin-converting enzyme inhibitor act...),Evidence at protein level,both,Bothrops jararaca,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops jararaca,terrestrial,terrestrial
P85162,8724,,12,,,Pyrrolidone carboxylic acid,Pyrrolidone carboxylic acid:1,,,,,Evidence at protein level,both,Bothrops jararaca,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops jararaca,terrestrial,terrestrial
P59866,42519,,34,,,,,,,,,Evidence at protein level,venom_tissue,Hottentotta tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta tamulus,terrestrial,terrestrial
P83660,246266,,16,,,,,GO:0009405 (pathogenesis); GO:0005615 (extracellular space),GO:0009405 (pathogenesis),GO:0005615 (extracellular space),,Evidence at protein level,both,Cyphononyx dorsalis,Arthropoda,Insecta,Hymenoptera,Pompilidae,Cyphononyx,Cyphononyx dorsalis,terrestrial,terrestrial
Q9XYR5,6491,Contulakin family,76,,,Cleavage on pair of basic residues; Glycoprotein; Pyrrolidone carboxylic acid,Glycosylation:1; Pyrrolidone carboxylic acid:1,,,,,Evidence at protein level,both,Conus geographus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus geographus,marine,marine
P17234,7448,MCD family,13,,,Amidation,Amidation:1,,,,,Evidence at protein level,venom_tissue,Vespa simillima xanthoptera,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa simillima,terrestrial,terrestrial
Q7ZZN9,135726,CRISP family,240,,,,Disulfide bond:8,,,,,Evidence at protein level,both,Protobothrops jerdonii,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops jerdonii,terrestrial,terrestrial
P0C636,93154,Conotoxin T superfamily,67,,,Amidation,Disulfide bond:2; Amidation:1,,,,,Evidence at transcript level,both,Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine,marine
P69767,319920,Conotoxin T superfamily,53,fragment,,Cleavage on pair of basic residues,Disulfide bond:2,,,,,Evidence at transcript level,both,Conus victoriae,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus victoriae,marine,marine
