Entry,Organism,Protein families,Length,Fragment,Toxic dose,PTM
Q26292,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,,
P30431,Bothrops jararaca (Jararaca) (Bothrops jajaraca),"Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIb sub-subfamily",571,fragment,,The N-terminus of Jararhagin is blocked.
P60266,Centruroides suffusus suffusus (Mexican scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",66,,LD(50) is 0.12 ug/kg in mouse by intracerebroventricular injection and LD(50) is 115 ug/kg in mouse by subcutaneous injection. {ECO:0000269|PubMed:2435711}.; LD(100) is 3 ug/kg by intracranial injection into mice. {ECO:0000269|PubMed:21329715}.,
P00626,Vipera ammodytes ammodytes (Western sand viper),"Phospholipase A2 family, Group II subfamily, D49 sub-subfamily",138,,"LD(50) is 0.021 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:10377255, ECO:0000269|PubMed:11931665, ECO:0000269|PubMed:15488774}.",
P60274,Conus geographus (Geography cone) (Nubecula geographus),Conotoxin A superfamily,66,,,"Gamma-carboxyglutamation of Glu-48 seems to be not important for nAChR inhibition, since synthetic peptides without this modification do not show change in inhibition of alpha-7/CHRNA7 and alpha-3-beta-2/CHRNA3-CHRNB2 nAChR and show a 2.3-fold increase in inhibition of alpha-4-beta-2/CHRNA4-CHRNB2 nAChR; Hydroxylation of Pro-60 seems to be important for nAChR inhibition, since synthetic peptides without this modification show a small decrease in inhibition of alpha-7/CHRNA7 and alpha-3-beta-2/CHRNA3-CHRNB2 nAChR and a very important decrease in inhibition of alpha-4-beta-2/CHRNA4-CHRNB2 nAChR; An amidation of Cys-63 increases potency against alpha-7/CHRNA7 (2.6-fold) and alpha-3-beta-2/CHRNA3-CHRNB2 (2-fold) nAChR. On the other hand, the peptide has no more activity on alpha-4-beta-2/CHRNA4-CHRNB2 nAChR with an amidated Cys-63"
P56855,Stromatopelma calceatum griseipes (Feather leg baboon tarantula) (Scodra griseipes),"Huwentoxin-1 family, HaTx subfamily",34,,,
A3R0T9,Ophiophagus hannah (King cobra) (Naja hannah),"Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily",611,,,
P83512,Bothrops asper (Terciopelo),"Venom metalloproteinase (M12B) family, P-I subfamily",408,,,
P62022,Crotalus durissus terrificus (South American rattlesnake),"Phospholipase A2 family, Group II subfamily, D49 sub-subfamily",138,,"In monomer CBc, LD(50) is 480 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 1 heterodimer CA2-CBc, LD(50) is 80 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 1 heterodimer CA3-CBc, LD(50) is 110 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.",
P86092,Bothrops leucurus (Whitetail lancehead),"Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily",324,fragment,,N-glycosylated; The N-terminus is blocked
O93523,Bothrops jararaca (Jararaca) (Bothrops jajaraca),"Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIb sub-subfamily",610,,,
P14530,Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis),"Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily",478,,,Not N-glycosylated
P00982,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),Venom Kunitz-type family,57,,LD(50) is 15 mg/kg by intravenous injection.,
