Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat
O16846,38281,Sea anemone type 1 potassium channel toxin family,74,,,,Heteractis magnifica,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Heteractis,Heteractis magnifica,marine
P39088,38281,Actinoporin family,54,fragment,,,Heteractis magnifica,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Heteractis,Heteractis magnifica,marine
P58689,38281,Actinoporin family,20,fragment,LD(50) is 140 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8146870}.,,Heteractis magnifica,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Heteractis,Heteractis magnifica,marine
P58690,38281,Actinoporin family,22,fragment,LD(50) is 320 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8146870}.,,Heteractis magnifica,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Heteractis,Heteractis magnifica,marine
P84001,280265,Neurotoxin 20 family,50,fragment,,,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial
Q9U6X1,38281,Actinoporin family,211,,,,Heteractis magnifica,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Heteractis,Heteractis magnifica,marine
P0DMX2,38281,Actinoporin family,177,,,,Heteractis magnifica,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Heteractis,Heteractis magnifica,marine
P84027,280265,Neurotoxin 04 (omega-agtx) family,37,fragment,,,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial
Q7M3V1,132888,,246,,,,Chelonus sp. near curvimaculatus,Arthropoda,Insecta,Hymenoptera,Braconidae,Chelonus,Chelonus sp. near curvimaculatus,terrestrial
A0A3G2FQK2,38281,Venom Kunitz-type family,72,fragment,,,Heteractis magnifica,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Heteractis,Heteractis magnifica,marine
F8J2B3,66186,Snake three-finger toxin family,108,,,,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
Q53B54,8665,Snake three-finger toxin family,72,,LD(50) is 210 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
P60615,8616,Snake three-finger toxin family,95,,LD(50) is 0.3 mg/kg by subcutaneous injection.,,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
P60616,8616,Snake three-finger toxin family,95,,,,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
P01385,8605,Snake three-finger toxin family,73,,LD(50) is 0.13 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7305964}.,,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial
P25670,8607,Snake three-finger toxin family,68,,LD(50) is 0.13 mg/kg by intravenous injection. {ECO:0000269|PubMed:3342927}.,,Aspidelaps scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Aspidelaps,Aspidelaps scutatus,terrestrial
B2BRQ5,471292,Snake three-finger toxin family,96,,,,Austrelaps labialis,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps labialis,terrestrial
A8S6A8,29156,Snake three-finger toxin family,90,,,,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial
A1IVR8,92438,Snake three-finger toxin family,75,fragment,LD(50) is 170-280 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:30944155}.,,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
A6MFK4,412038,Snake three-finger toxin family,88,,,,Demansia vestigiata,Chordata,Lepidosauria,Squamata,Elapidae,Demansia,Demansia vestigiata,terrestrial
