Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Protein existence,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat
P84001,280265,,50,fragment,,,1: Evidence at protein level;,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial
P84027,280265,Omega-agatoxin superfamily,37,fragment,,,1: Evidence at protein level;,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial
Q7M3V1,132888,,246,,,,1: Evidence at protein level;,Chelonus sp. near curvimaculatus,Arthropoda,Insecta,Hymenoptera,Braconidae,Chelonus,Chelonus sp. near curvimaculatus,terrestrial
F8J2B3,66186,Snake three-finger toxin family,108,,,,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
Q53B54,8665,Snake three-finger toxin family,72,,LD(50) is 210 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
P60615,8616,Snake three-finger toxin family,95,,LD(50) is 0.3 mg/kg by subcutaneous injection.,,1: Evidence at protein level;,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
P60616,8616,Snake three-finger toxin family,95,,,,1: Evidence at protein level;,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
P01385,8605,Snake three-finger toxin family,73,,LD(50) is 0.13 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7305964}.,,1: Evidence at protein level;,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial
P25670,8607,Snake three-finger toxin family,68,,LD(50) is 0.13 mg/kg by intravenous injection. {ECO:0000269|PubMed:3342927}.,,1: Evidence at protein level;,Aspidelaps scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Aspidelaps,Aspidelaps scutatus,terrestrial
B2BRQ5,471292,Snake three-finger toxin family,96,,,,1: Evidence at protein level;,Austrelaps labialis,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps labialis,terrestrial
A8S6A8,29156,Snake three-finger toxin family,90,,,,3: Inferred from homology;,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial
A1IVR8,92438,Snake three-finger toxin family,75,fragment,LD(50) is 0.28 mg/g by intraperitoneal injection into mice. {ECO:0000269|Ref.2}.,,1: Evidence at protein level;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
A6MFK4,412038,Snake three-finger toxin family,88,,,,1: Evidence at protein level;,Demansia vestigiata,Chordata,Lepidosauria,Squamata,Elapidae,Demansia,Demansia vestigiata,terrestrial
P01393,8619,Snake three-finger toxin family,72,,LD(50) is 0.38 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4204636}.,,1: Evidence at protein level;,Dendroaspis jamesoni kaimosae,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis jamesoni,terrestrial
P01396,8620,Snake three-finger toxin family,72,,LD(50) is 0.12 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5033401}.,,1: Evidence at protein level;,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial
P01394,8621,Snake three-finger toxin family,72,,LD(50) is 0.9 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4855008}.,Neurotoxin 4.7.3 differs from 4.9.3 only in that Trp-26 has undergone partial photooxidation.,1: Evidence at protein level;,Dendroaspis viridis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis viridis,terrestrial
Q8UW29,8781,Snake three-finger toxin family,92,,,,3: Inferred from homology;,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine
P01380,355677,Snake three-finger toxin family,70,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,,1: Evidence at protein level;,Hydrophis stokesii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis stokesii,marine
P0C8R6,8628,Snake three-finger toxin family,69,,,,1: Evidence at protein level;,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine
P01379,8631,Snake three-finger toxin family,87,,LD(50) is 1.24 mg/kg by intramuscular injection. {ECO:0000269|PubMed:4616684}.,,1: Evidence at protein level;,Laticauda semifasciata,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda semifasciata,marine
P01389,263737,Snake three-finger toxin family,72,,LD(50) is 0.067 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:1183429}.,,1: Evidence at protein level;,Naja anchietae,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja anchietae,terrestrial
P25674,8642,Snake three-finger toxin family,71,,LD(50) is 0.11 mg/kg by intravenous injection. {ECO:0000269|PubMed:718974}.,,1: Evidence at protein level;,Naja haje haje,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja haje,terrestrial
