Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence
O16846,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),38281,Sea anemone type 1 potassium channel toxin family,74,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P39088,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),38281,Actinoporin family,54,fragment,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0044218 (other organism cell membrane); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P58689,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),38281,Actinoporin family,20,fragment,LD(50) is 140 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8146870}.,,GO:0031640 (killing of cells of another organism); GO:0006811 (monoatomic ion transport); GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0042151 (nematocyst); GO:0044218 (other organism cell membrane); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P58690,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),38281,Actinoporin family,22,fragment,LD(50) is 320 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8146870}.,,GO:0031640 (killing of cells of another organism); GO:0006811 (monoatomic ion transport); GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0042151 (nematocyst); GO:0044218 (other organism cell membrane); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P84001,Ancylometes sp. (South American fishing spider),280265,Neurotoxin 20 family,50,fragment,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
Q9U6X1,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),38281,Actinoporin family,211,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0044218 (other organism cell membrane); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P0DMX2,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),38281,Actinoporin family,177,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0044218 (other organism cell membrane); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P84027,Ancylometes sp. (South American fishing spider),280265,Neurotoxin 04 (omega-agtx) family,37,fragment,,,GO:0005576 (extracellular region); GO:0044231 (host cell presynaptic membrane); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q7M3V1,Chelonus sp. nr. curvimaculatus (Parasitic wasp),132888,,246,,,,GO:0005576 (extracellular region),,1: Evidence at protein level;
A0A3G2FQK2,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),38281,Venom Kunitz-type family,72,fragment,,,GO:0005615 (extracellular space); GO:0042151 (nematocyst); GO:0099106 (ion channel regulator activity); GO:0004867 (serine-type endopeptidase inhibitor activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0004867 (serine-type endopeptidase inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
F8J2B3,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,108,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q53B54,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,72,,LD(50) is 210 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P60615,Bungarus multicinctus (Many-banded krait),8616,Snake three-finger toxin family,95,,LD(50) is 0.3 mg/kg by subcutaneous injection.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P60616,Bungarus multicinctus (Many-banded krait),8616,Snake three-finger toxin family,95,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P01385,Acanthophis antarcticus (Common death adder),8605,Snake three-finger toxin family,73,,LD(50) is 0.13 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7305964}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P25670,Aspidelaps scutatus (Shield-nose snake),8607,Snake three-finger toxin family,68,,LD(50) is 0.13 mg/kg by intravenous injection. {ECO:0000269|PubMed:3342927}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
B2BRQ5,Austrelaps labialis (Pygmy copperhead) (Denisonia superba),471292,Snake three-finger toxin family,96,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
A8S6A8,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,Snake three-finger toxin family,90,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
A1IVR8,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,75,fragment,LD(50) is 170-280 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:30944155}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
A6MFK4,Demansia vestigiata (Lesser black whip snake) (Demansia atra),412038,Snake three-finger toxin family,88,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P01393,Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba),8619,Snake three-finger toxin family,72,,LD(50) is 0.38 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4204636}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P01396,Dendroaspis polylepis polylepis (Black mamba),8620,Snake three-finger toxin family,72,,LD(50) is 0.12 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5033401}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P01394,Dendroaspis viridis (Western green mamba),8621,Snake three-finger toxin family,72,,LD(50) is 0.9 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4855008}.,Neurotoxin 4.7.3 differs from 4.9.3 only in that Trp-26 has undergone partial photooxidation.,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q8UW29,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,Snake three-finger toxin family,92,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P01380,Hydrophis stokesii (Stokes's sea snake) (Astrotia stokesii),355677,Snake three-finger toxin family,70,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C8R6,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),8628,Snake three-finger toxin family,69,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P01379,Laticauda semifasciata (Black-banded sea krait) (Pseudolaticauda semifasciata),8631,Snake three-finger toxin family,87,,LD(50) is 1.24 mg/kg by intramuscular injection. {ECO:0000269|PubMed:4616684}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P01389,Naja anchietae (Anchieta's cobra) (Naja haje anchietae),263737,Snake three-finger toxin family,72,,LD(50) is 0.067 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:1183429}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P25674,Naja haje haje (Egyptian cobra),8642,Snake three-finger toxin family,71,,LD(50) is 0.11 mg/kg by intravenous injection. {ECO:0000269|PubMed:718974}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P01391,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake three-finger toxin family,71,,,"In homodimer alpha-cobratoxin, selective reduction of Cys(26)- Cys(30) in one subunit does not affect the activity against the alpha- 7/CHRNA7 nAChR, whereas its reduction in both subunits almost prevents alpha-7/CHRNA7 nAChR recognition. On the contrary, reduction of one or both Cys(26)-Cys(30) disulfide bonds in the homodimer considerably potentiates inhibition of the alpha-3-beta-2/CHRNA3-CHRNB2 nAChR by the toxin. {ECO:0000269|PubMed:22223648}.",GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P01383,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,Snake three-finger toxin family,71,,LD(50) is 1.5 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:4830190}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
