Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Summary,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence
P84001,Ancylometes sp. (South American fishing spider),280265,,50,fragment,,,,,,
P84027,Ancylometes sp. (South American fishing spider),280265,Omega-agatoxin family,37,fragment,,,,,,
P84028,Ancylometes sp. (South American fishing spider),280265,Spider toxin Tx2 family,47,,,,,,,
Q92035,Bungarus fasciatus (Banded krait),8613,Type-B carboxylesterase/lipase family,606,,,DISULFID:4; CARBOHYD:4,The N-terminus is blocked.,,,
P58608,Agriosphodrus dohrni (Assassin bug),184613,,35,,,DISULFID:3,,,,
P15228,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),34649,Alpha/beta-scorpion toxin family,85,,,DISULFID:4; MOD_RES:1,,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019871 (sodium channel inhibitor activity),GO:0019871 (sodium channel inhibitor activity),
Q86M31,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),34649,Alpha/beta-scorpion toxin family,85,,,DISULFID:4; MOD_RES:1,,,,
P69943,Anemonia erythraea (Sea anemone),48400,Sea anemone sodium channel inhibitory toxin family,47,,LD(50) is 2.2 ug/kg to crabs.,DISULFID:3,,,,
P69944,Anemonia erythraea (Sea anemone),48400,,59,,LD(50) is 0.53 ug/kg to crabs.,,Contains five disulfide bonds (Probable).,,,
P69945,Anemonia erythraea (Sea anemone),48400,,59,,LD(50) is 0.28 ug/kg to crabs.,,Contains five disulfide bonds (Probable).,,,
P61408,Grammostola spatulata (Chilean rose tarantula),29015,Spider potassium channel inhibitory toxin family,29,,,DISULFID:3; MOD_RES:1,,,,
P61409,Grammostola spatulata (Chilean rose tarantula),29015,Spider potassium channel inhibitory toxin family,31,,,DISULFID:3,,,,
P01500,Apis mellifera (Honeybee),7460,,46,,,DISULFID:2; MOD_RES:1,,,,
P61541,Anthopleura elegantissima (Sea anemone),6110,Sea anemone BDS toxin family,42,,,DISULFID:3,Contains 3 internal disulfide bonds.,,,
P61542,Anthopleura elegantissima (Sea anemone),6110,Sea anemone BDS toxin family,42,,,DISULFID:3,,,,
P83451,Asobara tabida (Parasitic wasp),58720,Asparaginase 2 family,40,,,,May be N-glycosylated.,,,
P83512,Bothrops asper (Terciopelo),8722,Peptidase M12B family,203,,,DISULFID:3; MOD_RES:1,,,,
P84035,Bothrops asper (Terciopelo),8722,Peptidase M12B family,63,,,,The N-terminus is blocked.,,,
P83346,Bungarus candidus (Malayan krait),92438,Snake toxin family,65,,,DISULFID:4,,,,
P59891,Babycurus centrurimorphus (East African scorpion),244728,Alpha/beta-scorpion toxin family,30,fragment,,,,,,
P11494,Anemonia sulcata (Snake-locks sea anemone),6108,Sea anemone BDS toxin family,43,,,DISULFID:3,,,,
P59084,Anemonia sulcata (Snake-locks sea anemone),6108,Sea anemone BDS toxin family,43,,,DISULFID:3,,,,
P58752,Parabuthus transvaalicus (South African fattail scorpion),170972,Alpha/beta-scorpion toxin family,58,,,DISULFID:3,,,,
Q9DGI0,Bothrops jararaca (Jararaca),8724,Contains 2 cystatin-like domains,341,,,DISULFID:6; CARBOHYD:4,Glycosylated.,GO:0045861 (negative regulation of proteolysis and pept...); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),
P10521,Megabombus pennsylvanicus (American common bumblebee),28643,MCD family,17,,,MOD_RES:1,,,,
P07493,Megabombus pennsylvanicus (American common bumblebee),28643,MCD family,17,,,MOD_RES:1,,,,
P07494,Megabombus pennsylvanicus (American common bumblebee),28643,MCD family,17,,,MOD_RES:1,,,,
P07495,Megabombus pennsylvanicus (American common bumblebee),28643,MCD family,17,,,MOD_RES:1,,,,
P07496,Megabombus pennsylvanicus (American common bumblebee),28643,MCD family,17,,,MOD_RES:1,,,,
P58803,Conus imperialis (Imperial cone),35631,,7,,,DISULFID:1; MOD_RES:3,,,,
P59866,Buthus sindicus (Scorpion),42519,,34,,,,,,,
