Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM
P84001,Ancylometes sp. (South American fishing spider),280265,,50,fragment,,
P84027,Ancylometes sp. (South American fishing spider),280265,omega-agatoxin superfamily. Type II/III omega-agatoxin family,37,fragment,,
Q7M3V1,Chelonus sp. nr. curvimaculatus (Parasitic wasp),132888,,246,,,
F8J2B3,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,108,,,
Q53B54,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,72,,LD(50) is 210 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,
P60615,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,95,,LD(50) is 0.3 mg/kg by subcutaneous injection.,
P60616,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,95,,,
P01385,Acanthophis antarcticus (Common death adder),8605,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,73,,LD(50) is 0.13 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7305964}.,
P25670,Aspidelaps scutatus (Shield-nose snake),8607,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,68,,LD(50) is 0.13 mg/kg by intravenous injection. {ECO:0000269|PubMed:3342927}.,
B2BRQ5,Austrelaps labialis (Pygmy copperhead) (Denisonia superba),471292,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,96,,,
A8S6A8,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,90,,,
A1IVR8,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,75,fragment,LD(50) is 0.28 mg/g by intraperitoneal injection into mice. {ECO:0000269|Ref.2}.,
A6MFK4,Demansia vestigiata (Lesser black whip snake) (Demansia atra),412038,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,88,,,
P01393,Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba),8619,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,72,,LD(50) is 0.38 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4204636}.,
