Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Summary,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence
P84001,Ancylometes sp. (South American fishing spider),280265,,50,fragment,,,,GO:0005576 (extracellular region),,1: Evidence at protein level;
P84027,Ancylometes sp. (South American fishing spider),280265,Omega-agatoxin superfamily,37,fragment,,,,GO:0072556 (other organism presynaptic membrane),,1: Evidence at protein level;
Q7M3V1,Chelonus sp. nr. curvimaculatus (Parasitic wasp),132888,,246,,,,,GO:0005576 (extracellular region),,1: Evidence at protein level;
F8J2B3,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,108,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q53B54,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,72,,LD(50) is 210 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P60615,Bungarus multicinctus (Many-banded krait),8616,Snake three-finger toxin family,95,,LD(50) is 0.3 mg/kg by subcutaneous injection.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P60616,Bungarus multicinctus (Many-banded krait),8616,Snake three-finger toxin family,95,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01385,Acanthophis antarcticus (Common death adder),8605,Snake three-finger toxin family,73,,LD(50) is 0.13 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7305964}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P25670,Aspidelaps scutatus (Shield-nose snake),8607,Snake three-finger toxin family,68,,LD(50) is 0.13 mg/kg by intravenous injection. {ECO:0000269|PubMed:3342927}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
B2BRQ5,Austrelaps labialis (Pygmy copperhead) (Denisonia superba),471292,Snake three-finger toxin family,96,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
A8S6A8,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,Snake three-finger toxin family,90,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
A1IVR8,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,75,fragment,LD(50) is 0.28 mg/g by intraperitoneal injection into mice. {ECO:0000269|Ref.2}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
A6MFK4,Demansia vestigiata (Lesser black whip snake) (Demansia atra),412038,Snake three-finger toxin family,88,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01393,Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba),8619,Snake three-finger toxin family,72,,LD(50) is 0.38 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4204636}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01396,Dendroaspis polylepis polylepis (Black mamba),8620,Snake three-finger toxin family,72,,LD(50) is 0.12 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5033401}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01394,Dendroaspis viridis (Western green mamba),8621,Snake three-finger toxin family,72,,LD(50) is 0.9 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4855008}.,DISULFID:5,Neurotoxin 4.7.3 differs from 4.9.3 only in that Trp-26 has undergone partial photooxidation.,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q8UW29,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
P01380,Hydrophis stokesii (Stokes's sea snake) (Astrotia stokesii),355677,Snake three-finger toxin family,70,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,DISULFID:5; MOD_RES:1,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P0C8R6,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),8628,Snake three-finger toxin family,69,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01379,Laticauda semifasciata (Black-banded sea krait) (Pseudolaticauda semifasciata),8631,Snake three-finger toxin family,87,,LD(50) is 1.24 mg/kg by intramuscular injection. {ECO:0000269|PubMed:4616684}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01389,Naja anchietae (Anchieta's cobra) (Naja haje anchietae),263737,Snake three-finger toxin family,72,,LD(50) is 0.067 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:1183429}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P25674,Naja haje haje (Egyptian cobra),8642,Snake three-finger toxin family,71,,LD(50) is 0.11 mg/kg by intravenous injection. {ECO:0000269|PubMed:718974}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01391,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake three-finger toxin family,71,,LD(50) is 0.1 mg/kg by intravenous injection into mice.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01383,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,Snake three-finger toxin family,71,,LD(50) is 1.5 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4830190}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P25668,Naja naja (Indian cobra),35670,Snake three-finger toxin family,71,,LD(50) is 0.15 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5125232}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01390,Naja nivea (Cape cobra) (Coluber niveus),8655,Snake three-finger toxin family,71,,LD(50) is 0.076 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5167022}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01382,Naja oxiana (Central Asian cobra) (Oxus cobra),8657,Snake three-finger toxin family,73,,LD(50) is 0.56 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4411932}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01384,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),70142,Snake three-finger toxin family,94,,LD(50) is 0.125 mg/kg by intravenous injection. {ECO:0000269|PubMed:497256}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01387,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,73,,LD(50) is 0.3 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4198767}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
